time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
8800,51.5197944641113,5.86038732528687,15.9448824,16.2073496,95.979913504428,112.18726310443,0,0.24993778008,3.5939305612,14.2840555752,26,5,112.25287990443,16.0104992,2.5130455042,3.5939305612,0,0,0,250.6,-0.1,1.9,0,0,1024,1024,1024,359,0,0,0,-100,264.45,0,112.18726310443,15.9448824,5,GPS_Blake
9000,51.5197944641113,5.86038684844971,15.9448824,16.2073496,95.979913504428,112.18726310443,0,0.181798798128,3.663385944,14.3923232952,26,5,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,232.4,1.3,1.4,0,0,1024,1024,1024,494,0,0,0,-80,264.45,0,112.18726310443,15.9448824,5,GPS_Blake
9200,51.5197944641113,5.86038732528687,15.9448824,16.2073496,95.979913504428,112.18726310443,0,0.192493831962,3.5939305612,14.5005910152,26,5,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,214.2,2.1,1.1,0,0,1024,1024,1024,1024,0,0,0,0,246.48,0,112.18726310443,15.9448824,5,GPS_Blake
9400,51.5197944641113,5.86038732528687,15.9448824,16.2073496,95.979913504428,112.18726310443,0,0.25111664746,3.5939305612,14.5005910152,26,5,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,204,3.7,2.2,0,0,1024,1024,1024,1024,0,0,0,0,228.49,0,112.18726310443,15.9448824,5,GPS_Blake
9600,51.5197944641113,5.86038780212402,15.9448824,16.1745412,96.012721904428,112.18726310443,0,0.115153644708,3.5264436824,14.6088259268,26,5,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,201.8,4,3.3,0,0,1024,1024,1024,1024,0,0,0,0,203,0,112.18726310443,15.9448824,5,GPS_Blake
9800,51.5197944641113,5.86038780212402,15.9448824,16.1745412,96.012721904428,112.18726310443,0,0.166212247596,3.5264436824,14.6088259268,26,5,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,201.5,1.8,2.2,0,0,1024,1024,1024,1024,0,0,0,0,203.03,0,112.18726310443,15.9448824,5,GPS_Blake
10000,51.5197944641113,5.86038827896118,15.912074,16.1417328,96.012721904428,112.15445470443,0,0.18859417446,3.4610565412,14.7170936468,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,201.5,1.8,2.2,0,0,1024,1024,1024,1024,0,0,0,0,203.04,0,112.15445470443,15.912074,5,GPS_Blake
10200,51.5197944641113,5.86038827896118,15.912074,16.1417328,96.012721904428,112.15445470443,0,0.124627980384,3.4610565412,14.7170936468,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,201.6,0.8,1.4,0,0,1024,1024,1024,858,0,0,0,-25,203.04,0,112.15445470443,15.912074,5,GPS_Blake
10400,51.5197944641113,5.86038827896118,15.912074,16.1417328,96.012721904428,112.15445470443,0,0.082251389024,3.4610565412,14.7170936468,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,201.3,1.7,1.5,0,0,1024,1024,1024,359,0,0,0,-100,203.04,0,112.15445470443,15.912074,5,GPS_Blake
10600,51.5197944641113,5.86038827896118,15.912074,16.1417328,96.012721904428,112.15445470443,0,0.061056606218,3.4610565412,14.7170936468,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,195.7,1.6,1.8,0,0,1024,1024,1024,359,0,0,0,-100,194.17,0,112.15445470443,15.912074,5,GPS_Blake
10800,51.5197944641113,5.86038827896118,15.912074,16.1417328,96.012721904428,112.15445470443,0,0.057162541066,3.4610565412,14.7170936468,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,181.4,1.6,1,0,0,1024,1024,1024,522,0,0,0,-76,194.17,0,112.15445470443,15.912074,5,GPS_Blake
11000,51.5197944641113,5.86038827896118,15.912074,16.1417328,96.012721904428,112.15445470443,0,0.057162541066,3.4610565412,14.7170936468,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,167.1,1.4,0.2,0,0,1024,1024,1024,1024,0,0,0,0,165.85,0,112.15445470443,15.912074,5,GPS_Blake
11200,51.5197944641113,5.8603892326355,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.045898206002,3.336942364,14.9335962784,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,162.7,1.7,1,0,0,1561,1024,1024,1024,81,0,0,0,165.85,0,112.18726310443,15.9448824,5,GPS_Blake
11400,51.5197944641113,5.8603892326355,15.912074,16.1089244,96.045530304428,112.15445470443,0,0.050616136156,3.336942364,14.9335962784,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,161.9,0.6,0.9,0,0,1689,1024,1024,1024,100,0,0,0,165.85,0,112.15445470443,15.912074,5,GPS_Blake
11600,51.5197944641113,5.8603892326355,15.912074,16.1089244,96.045530304428,112.15445470443,0,0.6443393823,3.336942364,14.9335962784,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,0,0,0,161.9,-12,1.4,0,0,1469,1024,1024,1024,67,0,0,0,161.71,-0.01,112.15445470443,15.912074,5,GPS_Blake
11800,51.5197944641113,5.86038970947266,15.912074,16.1089244,96.045530304428,112.15445470443,0,1.85810526324,3.27847123352,15.0418639984,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,-0.223694,0,0,161.6,-15.9,0.8,0,0,1316,1024,1024,1024,44,0,0,0,161.71,-0.01,112.15445470443,15.912074,5,GPS_Blake
12000,51.5197944641113,5.86038970947266,15.912074,16.1089244,96.045530304428,112.15445470443,0,1.85810526324,3.27847123352,15.0418639984,26,4,112.25287990443,16.0104992,2.5130455042,3.663385944,-0.223694,0,0,161.7,3.8,0.5,0,0,1337,1024,1024,1024,47,0,0,0,161.71,-0.01,112.15445470443,15.912074,5,GPS_Blake
